Model,Dataset,Scene,Metric,Standard Value,Masked Value,Difference
triangle_splatting2,mp360,garden,PSNR,25.1151065826416,22.867883682250977,2.247222900390625
triangle_splatting2,tnt,Ignatius,PSNR,19.37165260314941,16.74546241760254,2.6261901855468714
triangle_splatting2,mp360,kitchen,PSNR,28.00448608398437,27.02855491638184,0.975931167602532
triangle_splatting2,tnt,Meetingroom,PSNR,22.87388610839844,16.79584312438965,6.078042984008793
triangle_splatting2,mp360,room,PSNR,28.408565521240234,23.11736297607422,5.291202545166016
triangle_splatting2,mp360,stump,PSNR,24.77086639404297,22.31052589416504,2.4603404998779297
triangle_splatting2,mp360,treehill,PSNR,21.02765846252441,18.17334747314453,2.8543109893798793
triangle_splatting2,tnt,Truck,PSNR,22.84925842285156,17.954124450683594,4.895133972167965
2dgs,tnt,Barn,PSNR,27.083925247192383,20.542085647583008,6.541839599609375
2dgs,mp360,bicycle,PSNR,24.696504592895508,22.149316787719727,2.5471878051757812
2dgs,mp360,bonsai,PSNR,31.20986557006836,25.85870933532715,5.351156234741211
2dgs,tnt,Caterpillar,PSNR,22.492834091186523,19.02601623535156,3.4668178558349645
2dgs,mp360,counter,PSNR,28.047765731811523,20.40258407592773,7.645181655883793
2dgs,tnt,Courthouse,PSNR,21.425413131713867,17.064001083374023,4.361412048339844
2dgs,mp360,flowers,PSNR,21.067522048950195,18.591148376464844,2.4763736724853516
2dgs,mp360,garden,PSNR,26.60024070739746,24.37953758239746,2.220703125
2dgs,tnt,Ignatius,PSNR,21.762386322021484,18.897911071777344,2.8644752502441406
2dgs,mp360,kitchen,PSNR,30.263671875,27.80329704284668,2.4603748321533203
2dgs,tnt,Meetingroom,PSNR,25.000667572021484,18.75291633605957,6.247751235961914
2dgs,mp360,room,PSNR,30.58669090270996,24.176164627075195,6.410526275634766
2dgs,mp360,stump,PSNR,26.11030578613281,23.50684356689453,2.6034622192382777
2dgs,mp360,treehill,PSNR,22.29220962524414,19.017602920532227,3.274606704711914
2dgs,tnt,Truck,PSNR,24.67465209960937,19.579776763916016,5.094875335693356
radegs,tnt,Barn,PSNR,26.781330108642575,21.36377716064453,5.417552947998043
radegs,mp360,bicycle,PSNR,24.50578117370605,21.49234390258789,3.0134372711181605
radegs,mp360,bonsai,PSNR,30.249191284179688,27.373741149902344,2.8754501342773438
radegs,tnt,Caterpillar,PSNR,21.732254028320312,18.78236198425293,2.949892044067383
radegs,mp360,counter,PSNR,28.985456466674805,24.350454330444336,4.635002136230469
radegs,tnt,Courthouse,PSNR,19.54209327697754,16.037363052368164,3.504730224609375
radegs,mp360,flowers,PSNR,21.402393341064453,17.693317413330078,3.709075927734375
radegs,mp360,garden,PSNR,26.08207893371582,22.7751522064209,3.306926727294922
radegs,tnt,Ignatius,PSNR,20.74983024597168,18.18419647216797,2.565633773803711
radegs,mp360,kitchen,PSNR,31.024843215942383,29.349538803100582,1.6753044128418004
radegs,tnt,Meetingroom,PSNR,25.21245384216309,18.8165340423584,6.395919799804691
radegs,mp360,room,PSNR,30.03421974182129,26.122249603271484,3.9119701385498047
radegs,mp360,stump,PSNR,26.87348937988281,22.936655044555664,3.936834335327145
