Model,Dataset,Scene,file_name,Metric,Standard Value,Masked1 Value,Masked2 Value,Masked3 Value,Masked4 Value,Difference1,Difference2,Difference3,Difference4
3dgs,MP360,room,3dgs_room_DSCF4699.JPG.png,PSNR,33.29316711425781,32.981956481933594,30.807504653930664,26.26055145263672,23.032381057739258,0.31121063232421875,2.4856624603271484,7.032615661621094,10.260786056518555
3dgs,MP360,room,3dgs_room_DSCF4707.JPG.png,PSNR,29.79745864868164,26.981361389160156,24.99573516845703,23.15518569946289,22.8500919342041,2.8160972595214844,4.801723480224609,6.64227294921875,6.947366714477539
3dgs,MP360,room,3dgs_room_DSCF4715.JPG.png,PSNR,33.23346710205078,34.114192962646484,33.29039764404297,30.03095245361328,26.37432098388672,-0.8807258605957031,-0.0569305419921875,3.2025146484375,6.8591461181640625
3dgs,MP360,room,3dgs_room_DSCF4723.JPG.png,PSNR,33.80607223510742,33.964561462402344,32.124488830566406,28.751888275146484,25.1263427734375,-0.15848922729492188,1.6815834045410156,5.0541839599609375,8.679729461669922
3dgs,MP360,room,3dgs_room_DSCF4731.JPG.png,PSNR,30.971355438232422,30.719226837158203,27.621639251708984,23.72214126586914,21.57522201538086,0.25212860107421875,3.3497161865234375,7.249214172363281,9.396133422851562
3dgs,MP360,room,3dgs_room_DSCF4739.JPG.png,PSNR,34.13297653198242,34.2489128112793,32.62282943725586,29.447669982910156,25.543081283569336,-0.115936279296875,1.5101470947265625,4.685306549072266,8.589895248413086
3dgs,MP360,room,3dgs_room_DSCF4747.JPG.png,PSNR,33.681617736816406,35.724815368652344,33.299400329589844,24.09345817565918,24.36888885498047,-2.0431976318359375,0.3822174072265625,9.588159561157227,9.312728881835938
3dgs,MP360,room,3dgs_room_DSCF4755.JPG.png,PSNR,35.91959762573242,34.192317962646484,33.37527847290039,29.399147033691406,26.795894622802734,1.7272796630859375,2.5443191528320312,6.520450592041016,9.123703002929688
3dgs,MP360,room,3dgs_room_DSCF4763.JPG.png,PSNR,34.74982833862305,35.31394958496094,32.92470932006836,29.51272201538086,26.09259605407715,-0.5641212463378906,1.8251190185546875,5.2371063232421875,8.657232284545898
3dgs,MP360,room,3dgs_room_DSCF4771.JPG.png,PSNR,32.446258544921875,33.36064147949219,31.195890426635742,28.056974411010742,24.196136474609375,-0.9143829345703125,1.2503681182861328,4.389284133911133,8.2501220703125
3dgs,MP360,room,3dgs_room_DSCF4779.JPG.png,PSNR,29.60906982421875,31.389026641845703,28.683639526367188,26.255966186523438,23.192474365234375,-1.7799568176269531,0.9254302978515625,3.3531036376953125,6.416595458984375
3dgs,MP360,room,3dgs_room_DSCF4787.JPG.png,PSNR,32.52119064331055,33.127830505371094,30.088293075561523,28.234130859375,24.109378814697266,-0.6066398620605469,2.4328975677490234,4.287059783935547,8.411811828613281
3dgs,MP360,room,3dgs_room_DSCF4795.JPG.png,PSNR,32.37058639526367,32.5184211730957,31.75283432006836,29.253890991210938,24.870880126953125,-0.14783477783203125,0.6177520751953125,3.1166954040527344,7.499706268310547
3dgs,MP360,room,3dgs_room_DSCF4803.JPG.png,PSNR,34.80194854736328,33.998050689697266,30.8165340423584,26.568603515625,25.4906005859375,0.8038978576660156,3.985414505004883,8.233345031738281,9.311347961425781
3dgs,MP360,room,3dgs_room_DSCF4811.JPG.png,PSNR,32.912784576416016,33.911888122558594,32.16802978515625,28.082157135009766,24.972415924072266,-0.9991035461425781,0.7447547912597656,4.83062744140625,7.94036865234375
3dgs,MP360,room,3dgs_room_DSCF4819.JPG.png,PSNR,30.182676315307617,26.942644119262695,27.006093978881836,23.920509338378906,22.895662307739258,3.240032196044922,3.1765823364257812,6.262166976928711,7.287014007568359
3dgs,MP360,room,3dgs_room_DSCF4827.JPG.png,PSNR,31.57280921936035,28.702402114868164,26.291812896728516,25.80731201171875,23.637176513671875,2.8704071044921875,5.280996322631836,5.765497207641602,7.935632705688477
3dgs,MP360,room,3dgs_room_DSCF4835.JPG.png,PSNR,30.579805374145508,28.561309814453125,25.83562469482422,22.630592346191406,19.70531463623047,2.018495559692383,4.744180679321289,7.949213027954102,10.874490737915039
3dgs,MP360,room,3dgs_room_DSCF4843.JPG.png,PSNR,33.72932052612305,34.038330078125,32.19304656982422,27.16461181640625,25.204343795776367,-0.3090095520019531,1.5362739562988281,6.564708709716797,8.52497673034668
3dgs,MP360,room,3dgs_room_DSCF4851.JPG.png,PSNR,27.637310028076172,27.150890350341797,25.54293441772461,22.132991790771484,20.718576431274414,0.486419677734375,2.0943756103515625,5.5043182373046875,6.918733596801758
3dgs,MP360,room,3dgs_room_DSCF4859.JPG.png,PSNR,31.274097442626953,29.22132110595703,28.2554931640625,24.106990814208984,21.289348602294922,2.052776336669922,3.018604278564453,7.167106628417969,9.984748840332031
3dgs,MP360,room,3dgs_room_DSCF4867.JPG.png,PSNR,32.437007904052734,32.448062896728516,30.206268310546875,26.328704833984375,24.74420166015625,-0.01105499267578125,2.2307395935058594,6.108303070068359,7.692806243896484
3dgs,MP360,room,3dgs_room_DSCF4875.JPG.png,PSNR,31.653240203857422,31.138431549072266,27.942541122436523,25.283544540405273,23.868101119995117,0.5148086547851562,3.7106990814208984,6.369695663452148,7.785139083862305
3dgs,MP360,room,3dgs_room_DSCF4883.JPG.png,PSNR,31.618253707885742,31.432262420654297,28.257482528686523,23.753520965576172,21.499359130859375,0.1859912872314453,3.3607711791992188,7.86473274230957,10.118894577026367
3dgs,MP360,room,3dgs_room_DSCF4891.JPG.png,PSNR,30.57135581970215,30.0450496673584,27.841819763183594,22.629657745361328,20.985435485839844,0.52630615234375,2.7295360565185547,7.94169807434082,9.585920333862305
